date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:30:05	537/537	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:c6f6d38ac7aa48dd58bea10139e2513a%22	https://sunsecrets.no/robots.txt		(from )
14:30:06	196544/196544	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:aaf84481d822fd79c5ca5c8162a267d9%22	https://sunsecrets.no/	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/index.html	(from )
14:30:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2017:30:06%20GMT	http://sunsecrets.no/cdn/fonts/nunito_sans/nunitosans_n4.2b61d9dcf54d8ac8282cfd1ebb6964c79a7efcd1.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=ce91e5e5b723ac38de3174a205af3851329385dcf1fb642649fe841c29653130	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/nunito_sans/nunitosans_n4.2b61d9dcf54d8ac8282cfd1ebb6964c79a7efcd1.01a94.delayed	(from https://sunsecrets.no/)
14:30:08	18918/18918	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Oct%202023%2017:30:07%20GMT	https://fonts.shopify.com/	/Users/eirik/Desktop/Sunsecrets-no/fonts.shopify.com/index.html	(from https://sunsecrets.no/)
14:30:10	70489/70489	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2015:54:28%20GMT	https://cdn.shopify.com/	/Users/eirik/Desktop/Sunsecrets-no/cdn.shopify.com/index.html	(from https://sunsecrets.no/)
14:30:10	20292/20292	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Sep%202023%2019:26:19%20GMT	https://sunsecrets.no/cdn/fonts/nunito_sans/nunitosans_n4.2b61d9dcf54d8ac8282cfd1ebb6964c79a7efcd1.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=ce91e5e5b723ac38de3174a205af3851329385dcf1fb642649fe841c29653130	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/nunito_sans/nunitosans_n4.2b61d9dcf54d8ac8282cfd1ebb6964c79a7efcd11a94.woff2	(from https://sunsecrets.no/)
14:30:10	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2017:30:09%20GMT	http://sunsecrets.no/cdn/fonts/americana/americana_n4.e48f0c04dfcd15cf0297d6a79006cabda02b0d13.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=b9bf8826b7603a8746f45d3e764cc134f8ca42e9b1bd432e609b768c6324451d	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/americana/americana_n4.e48f0c04dfcd15cf0297d6a79006cabda02b0d13.255be.delayed	(from https://sunsecrets.no/)
14:30:11	21696/21696	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Sep%202023%2019:26:19%20GMT	https://sunsecrets.no/cdn/fonts/americana/americana_n4.e48f0c04dfcd15cf0297d6a79006cabda02b0d13.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=b9bf8826b7603a8746f45d3e764cc134f8ca42e9b1bd432e609b768c6324451d	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/americana/americana_n4.e48f0c04dfcd15cf0297d6a79006cabda02b0d1355be.woff2	(from https://sunsecrets.no/)
14:30:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2003%20Oct%202023%2017:30:11%20GMT	http://sunsecrets.no/cdn/fonts/americana/americana_n7.dd29a55af4a70b7c14bb52dbc2c66d28ecc4549c.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=eced6d3d66d090f2bc587bb0079a9b50236547688c249dd47e1dab1a3c968def	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/americana/americana_n7.dd29a55af4a70b7c14bb52dbc2c66d28ecc4549c53e7.woff2	(from https://sunsecrets.no/)
14:30:12	20932/20932	---M--	200	added ('OK')	font/woff2	date:Fri,%2022%20Sep%202023%2019:26:19%20GMT	https://sunsecrets.no/cdn/fonts/americana/americana_n7.dd29a55af4a70b7c14bb52dbc2c66d28ecc4549c.woff2?h1=MzRlZjI1LmFjY291bnQubXlzaG9waWZ5LmNvbQ&h2=c3Vuc2VjcmV0cy5ubw&hmac=eced6d3d66d090f2bc587bb0079a9b50236547688c249dd47e1dab1a3c968def	/Users/eirik/Desktop/Sunsecrets-no/sunsecrets.no/cdn/fonts/americana/americana_n7.dd29a55af4a70b7c14bb52dbc2c66d28ecc4549c53e7.woff2	(from https://sunsecrets.no/)
